episode,steps_done,timestep,total_reward,loss
72,4245,48,20.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
73,4279,33,20.0,"tensor(0.5926, grad_fn=<SmoothL1LossBackward0>)"
74,4360,80,40.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
75,4393,32,0.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
76,4408,14,20.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
77,4414,5,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
78,4504,89,40.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
79,4526,21,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
80,4646,119,30.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
81,4700,53,10.0,"tensor(0.0005, grad_fn=<SmoothL1LossBackward0>)"
82,4831,130,40.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
83,4863,31,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
84,4894,30,20.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
85,4948,53,40.0,"tensor(0.5937, grad_fn=<SmoothL1LossBackward0>)"
86,4996,47,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
87,5008,11,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
88,5027,18,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
89,5032,4,0.0,"tensor(0.7490, grad_fn=<SmoothL1LossBackward0>)"
90,5037,4,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
91,5158,120,40.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
92,5316,157,80.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
93,5324,7,0.0,"tensor(0.4527, grad_fn=<SmoothL1LossBackward0>)"
94,5325,0,0.0,"tensor(0.4527, grad_fn=<SmoothL1LossBackward0>)"
95,5339,13,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
96,5468,128,40.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
97,5576,107,90.0,"tensor(0.8892, grad_fn=<SmoothL1LossBackward0>)"
98,5581,4,10.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
99,5805,223,80.0,"tensor(1.1854, grad_fn=<SmoothL1LossBackward0>)"
100,5828,22,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
101,5864,35,0.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
102,5880,15,10.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
103,5885,4,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
104,5963,77,40.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
