episode,steps_done,timestep,total_reward,loss
72,3041,39,10.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
73,3080,38,20.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
74,3169,88,60.0,"tensor(0.8873, grad_fn=<SmoothL1LossBackward0>)"
75,3234,64,60.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
76,3279,44,10.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
77,3284,4,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
78,3297,12,10.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
79,3313,15,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
80,3369,55,20.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
81,3376,6,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
82,3382,5,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
83,3508,125,60.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
84,3570,61,10.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
85,3575,4,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
86,3578,2,0.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
87,3586,7,20.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
88,3597,10,0.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
89,3687,89,50.0,"tensor(0.8887, grad_fn=<SmoothL1LossBackward0>)"
90,3709,21,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
91,3817,107,80.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
92,3824,6,15.0,"tensor(0.5924, grad_fn=<SmoothL1LossBackward0>)"
93,3834,9,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
94,3852,17,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
95,3860,7,0.0,"tensor(0.5923, grad_fn=<SmoothL1LossBackward0>)"
96,3876,15,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
97,3901,24,0.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
98,3921,19,0.0,"tensor(0.5932, grad_fn=<SmoothL1LossBackward0>)"
99,3933,11,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
100,3943,9,0.0,"tensor(0.0008, grad_fn=<SmoothL1LossBackward0>)"
101,3958,14,0.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
102,4002,43,60.0,"tensor(0.5929, grad_fn=<SmoothL1LossBackward0>)"
103,4010,7,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
104,4079,68,30.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
105,4127,47,30.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
106,4163,35,0.0,"tensor(1.1825, grad_fn=<SmoothL1LossBackward0>)"
107,4177,13,0.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
108,4196,18,10.0,"tensor(0.0012, grad_fn=<SmoothL1LossBackward0>)"
109,4479,282,90.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
110,4498,18,0.0,"tensor(0.5917, grad_fn=<SmoothL1LossBackward0>)"
111,4521,22,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
112,4710,188,120.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
113,4717,6,0.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
114,4776,58,30.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
115,4938,161,70.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
116,4946,7,0.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
117,5075,128,30.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
118,5122,46,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
119,5339,216,90.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
120,5368,28,10.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
121,5371,2,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
122,5468,96,40.0,"tensor(1.6344, grad_fn=<SmoothL1LossBackward0>)"
123,5492,23,0.0,"tensor(0.0011, grad_fn=<SmoothL1LossBackward0>)"
