episode,steps_done,timestep,total_reward,loss
72,3189,68,50.0,"tensor(0.2952, grad_fn=<SmoothL1LossBackward0>)"
73,3335,145,40.0,"tensor(0.5906, grad_fn=<SmoothL1LossBackward0>)"
74,3341,5,0.0,"tensor(0.0013, grad_fn=<SmoothL1LossBackward0>)"
75,3385,43,20.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
76,3411,25,0.0,"tensor(0.5886, grad_fn=<SmoothL1LossBackward0>)"
77,3438,26,30.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
78,3453,14,10.0,"tensor(0.5882, grad_fn=<SmoothL1LossBackward0>)"
79,3458,4,0.0,"tensor(0.0016, grad_fn=<SmoothL1LossBackward0>)"
80,3488,29,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
81,3497,8,0.0,"tensor(0.5899, grad_fn=<SmoothL1LossBackward0>)"
82,3506,8,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
83,3539,32,0.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
84,3581,41,10.0,"tensor(0.2946, grad_fn=<SmoothL1LossBackward0>)"
85,3601,19,20.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
86,3683,81,60.0,"tensor(0.2959, grad_fn=<SmoothL1LossBackward0>)"
87,3719,35,20.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
88,3750,30,10.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
89,3807,56,0.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
90,3854,46,10.0,"tensor(0.2955, grad_fn=<SmoothL1LossBackward0>)"
91,3885,30,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
92,3932,46,40.0,"tensor(0.2956, grad_fn=<SmoothL1LossBackward0>)"
93,3938,5,0.0,"tensor(0.5901, grad_fn=<SmoothL1LossBackward0>)"
94,3945,6,10.0,"tensor(0.5909, grad_fn=<SmoothL1LossBackward0>)"
95,4087,141,60.0,"tensor(0.0001, grad_fn=<SmoothL1LossBackward0>)"
96,4103,15,0.0,"tensor(0.2952, grad_fn=<SmoothL1LossBackward0>)"
