episode,steps_done,timestep,total_reward,loss
72,5126,158,95.0,"tensor(0.1486, grad_fn=<SmoothL1LossBackward0>)"
73,5140,13,0.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
74,5160,19,10.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
75,5165,4,10.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
76,5364,198,60.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
77,5425,60,20.0,"tensor(0.4446, grad_fn=<SmoothL1LossBackward0>)"
78,5443,17,10.0,"tensor(0.1483, grad_fn=<SmoothL1LossBackward0>)"
79,5503,59,20.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
80,5526,22,10.0,"tensor(0.1483, grad_fn=<SmoothL1LossBackward0>)"
81,5614,87,20.0,"tensor(0.3748, grad_fn=<SmoothL1LossBackward0>)"
82,5696,81,40.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
83,5702,5,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
84,5755,52,20.0,"tensor(0.1485, grad_fn=<SmoothL1LossBackward0>)"
85,5777,21,10.0,"tensor(0.0001, grad_fn=<SmoothL1LossBackward0>)"
86,5785,7,10.0,"tensor(0.5229, grad_fn=<SmoothL1LossBackward0>)"
87,5829,43,10.0,"tensor(0.1483, grad_fn=<SmoothL1LossBackward0>)"
88,5980,150,90.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
89,5990,9,0.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
90,5998,7,0.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
91,6006,7,0.0,"tensor(0.0002, grad_fn=<SmoothL1LossBackward0>)"
92,6041,34,10.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
93,6118,76,50.0,"tensor(0.1483, grad_fn=<SmoothL1LossBackward0>)"
94,6127,8,10.0,"tensor(0.8192, grad_fn=<SmoothL1LossBackward0>)"
95,6133,5,10.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
96,6560,426,135.0,"tensor(0.0003, grad_fn=<SmoothL1LossBackward0>)"
97,6576,15,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
98,6616,39,20.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
99,6654,37,20.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
100,6774,119,60.0,"tensor(0.1485, grad_fn=<SmoothL1LossBackward0>)"
101,6784,9,0.0,"tensor(0.2961, grad_fn=<SmoothL1LossBackward0>)"
102,6815,30,20.0,"tensor(0.2966, grad_fn=<SmoothL1LossBackward0>)"
103,6821,5,0.0,"tensor(0.2963, grad_fn=<SmoothL1LossBackward0>)"
104,6844,22,10.0,"tensor(0.6709, grad_fn=<SmoothL1LossBackward0>)"
105,6861,16,0.0,"tensor(0.3743, grad_fn=<SmoothL1LossBackward0>)"
106,6899,37,10.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
107,6905,5,0.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
108,6949,43,30.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
109,7084,134,70.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
110,7119,34,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
111,7134,14,0.0,"tensor(0.8178, grad_fn=<SmoothL1LossBackward0>)"
112,7137,2,0.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
113,7141,3,0.0,"tensor(0.1488, grad_fn=<SmoothL1LossBackward0>)"
114,7228,86,20.0,"tensor(0.5928, grad_fn=<SmoothL1LossBackward0>)"
115,7272,43,30.0,"tensor(0.4444, grad_fn=<SmoothL1LossBackward0>)"
116,7301,28,0.0,"tensor(0.2269, grad_fn=<SmoothL1LossBackward0>)"
117,7308,6,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
118,7631,322,190.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
119,7639,7,0.0,"tensor(0.6699, grad_fn=<SmoothL1LossBackward0>)"
120,7688,48,60.0,"tensor(0.1486, grad_fn=<SmoothL1LossBackward0>)"
121,7793,104,90.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
122,7800,6,0.0,"tensor(0.1489, grad_fn=<SmoothL1LossBackward0>)"
123,7879,78,55.0,"tensor(0.5221, grad_fn=<SmoothL1LossBackward0>)"
124,7938,58,20.0,"tensor(0.7401, grad_fn=<SmoothL1LossBackward0>)"
125,7944,5,10.0,"tensor(0.7397, grad_fn=<SmoothL1LossBackward0>)"
126,7960,15,10.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
127,7964,3,0.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
128,8001,36,0.0,"tensor(0.0009, grad_fn=<SmoothL1LossBackward0>)"
129,8012,10,0.0,"tensor(0.2268, grad_fn=<SmoothL1LossBackward0>)"
130,8036,23,10.0,"tensor(0.5922, grad_fn=<SmoothL1LossBackward0>)"
131,8043,6,0.0,"tensor(0.4445, grad_fn=<SmoothL1LossBackward0>)"
132,8074,30,0.0,"tensor(0.7400, grad_fn=<SmoothL1LossBackward0>)"
133,8090,15,0.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
134,8138,47,40.0,"tensor(0.5225, grad_fn=<SmoothL1LossBackward0>)"
135,8143,4,0.0,"tensor(0.8182, grad_fn=<SmoothL1LossBackward0>)"
136,8173,29,20.0,"tensor(0.5220, grad_fn=<SmoothL1LossBackward0>)"
137,8194,20,10.0,"tensor(0.1489, grad_fn=<SmoothL1LossBackward0>)"
138,8202,7,0.0,"tensor(0.0010, grad_fn=<SmoothL1LossBackward0>)"
139,8231,28,20.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
140,8252,20,20.0,"tensor(0.2964, grad_fn=<SmoothL1LossBackward0>)"
141,8280,27,20.0,"tensor(0.1488, grad_fn=<SmoothL1LossBackward0>)"
142,8285,4,0.0,"tensor(0.4439, grad_fn=<SmoothL1LossBackward0>)"
143,8477,191,80.0,"tensor(0.5220, grad_fn=<SmoothL1LossBackward0>)"
144,8502,24,0.0,"tensor(0.3748, grad_fn=<SmoothL1LossBackward0>)"
145,8899,396,110.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
146,8944,44,20.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
147,8950,5,10.0,"tensor(0.3750, grad_fn=<SmoothL1LossBackward0>)"
148,8987,36,10.0,"tensor(0.2960, grad_fn=<SmoothL1LossBackward0>)"
149,8997,9,0.0,"tensor(0.4438, grad_fn=<SmoothL1LossBackward0>)"
150,8999,1,0.0,"tensor(0.3746, grad_fn=<SmoothL1LossBackward0>)"
151,9001,1,0.0,"tensor(0.2967, grad_fn=<SmoothL1LossBackward0>)"
152,9096,94,50.0,"tensor(0.3752, grad_fn=<SmoothL1LossBackward0>)"
153,9221,124,60.0,"tensor(0.7400, grad_fn=<SmoothL1LossBackward0>)"
154,9308,86,30.0,"tensor(0.1486, grad_fn=<SmoothL1LossBackward0>)"
155,9322,13,0.0,"tensor(0.1486, grad_fn=<SmoothL1LossBackward0>)"
156,9342,19,10.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
157,9428,85,40.0,"tensor(0.5912, grad_fn=<SmoothL1LossBackward0>)"
158,9441,12,0.0,"tensor(0.1487, grad_fn=<SmoothL1LossBackward0>)"
159,9444,2,0.0,"tensor(0.1488, grad_fn=<SmoothL1LossBackward0>)"
160,9503,58,30.0,"tensor(0.0007, grad_fn=<SmoothL1LossBackward0>)"
161,9657,153,50.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
162,9671,13,10.0,"tensor(1.0358, grad_fn=<SmoothL1LossBackward0>)"
163,9755,83,20.0,"tensor(0.4450, grad_fn=<SmoothL1LossBackward0>)"
164,9772,16,0.0,"tensor(0.4441, grad_fn=<SmoothL1LossBackward0>)"
165,9812,39,20.0,"tensor(0.2958, grad_fn=<SmoothL1LossBackward0>)"
166,9850,37,30.0,"tensor(0.2965, grad_fn=<SmoothL1LossBackward0>)"
167,10119,268,20.0,"tensor(0.4443, grad_fn=<SmoothL1LossBackward0>)"
168,10158,38,0.0,"tensor(0.4444, grad_fn=<SmoothL1LossBackward0>)"
169,10184,25,10.0,"tensor(0.3752, grad_fn=<SmoothL1LossBackward0>)"
170,10564,379,70.0,"tensor(0.8170, grad_fn=<SmoothL1LossBackward0>)"
171,10603,38,10.0,"tensor(0.1491, grad_fn=<SmoothL1LossBackward0>)"
172,10644,40,10.0,"tensor(0.5915, grad_fn=<SmoothL1LossBackward0>)"
173,10719,74,30.0,"tensor(0.1488, grad_fn=<SmoothL1LossBackward0>)"
174,10732,12,0.0,"tensor(0.1489, grad_fn=<SmoothL1LossBackward0>)"
175,11009,276,110.0,"tensor(0.2970, grad_fn=<SmoothL1LossBackward0>)"
176,11042,32,10.0,"tensor(0.4436, grad_fn=<SmoothL1LossBackward0>)"
177,11050,7,0.0,"tensor(0.1492, grad_fn=<SmoothL1LossBackward0>)"
178,11086,35,10.0,"tensor(0.0014, grad_fn=<SmoothL1LossBackward0>)"
179,11101,14,10.0,"tensor(0.0015, grad_fn=<SmoothL1LossBackward0>)"
180,11114,12,0.0,"tensor(0.5920, grad_fn=<SmoothL1LossBackward0>)"
181,11191,76,20.0,"tensor(0.2270, grad_fn=<SmoothL1LossBackward0>)"
182,11242,50,10.0,"tensor(0.2969, grad_fn=<SmoothL1LossBackward0>)"
183,11249,6,0.0,"tensor(0.0006, grad_fn=<SmoothL1LossBackward0>)"
184,11284,34,10.0,"tensor(0.4445, grad_fn=<SmoothL1LossBackward0>)"
185,11304,19,0.0,"tensor(0.1485, grad_fn=<SmoothL1LossBackward0>)"
186,11364,59,20.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
187,11388,23,10.0,"tensor(0.5927, grad_fn=<SmoothL1LossBackward0>)"
188,11413,24,10.0,"tensor(0.1482, grad_fn=<SmoothL1LossBackward0>)"
189,11470,56,30.0,"tensor(0.7412, grad_fn=<SmoothL1LossBackward0>)"
190,11509,38,0.0,"tensor(0.9673, grad_fn=<SmoothL1LossBackward0>)"
191,11560,50,50.0,"tensor(0.4445, grad_fn=<SmoothL1LossBackward0>)"
192,11645,84,30.0,"tensor(0.1482, grad_fn=<SmoothL1LossBackward0>)"
193,11653,7,20.0,"tensor(0.9667, grad_fn=<SmoothL1LossBackward0>)"
194,11659,5,10.0,"tensor(0.1482, grad_fn=<SmoothL1LossBackward0>)"
195,11779,119,30.0,"tensor(0.0004, grad_fn=<SmoothL1LossBackward0>)"
196,11867,87,30.0,"tensor(1.0368, grad_fn=<SmoothL1LossBackward0>)"
197,12110,242,60.0,"tensor(0.2968, grad_fn=<SmoothL1LossBackward0>)"
198,12229,118,75.0,"tensor(0.1484, grad_fn=<SmoothL1LossBackward0>)"
199,12278,48,30.0,"tensor(0.3748, grad_fn=<SmoothL1LossBackward0>)"
200,12294,15,10.0,"tensor(0.5918, grad_fn=<SmoothL1LossBackward0>)"
201,12343,48,0.0,"tensor(0.6003, grad_fn=<SmoothL1LossBackward0>)"
202,12359,15,10.0,"tensor(0.3745, grad_fn=<SmoothL1LossBackward0>)"
203,12364,4,0.0,"tensor(0.5919, grad_fn=<SmoothL1LossBackward0>)"
204,12416,51,10.0,"tensor(0.2962, grad_fn=<SmoothL1LossBackward0>)"
205,12441,24,10.0,"tensor(0.2270, grad_fn=<SmoothL1LossBackward0>)"
206,12979,537,200.0,"tensor(0.4438, grad_fn=<SmoothL1LossBackward0>)"
207,13058,78,75.0,"tensor(0.6699, grad_fn=<SmoothL1LossBackward0>)"
208,13085,26,15.0,"tensor(0.5908, grad_fn=<SmoothL1LossBackward0>)"
